date,incident_id,governorate,district,area,target,main_category,sub_category,min_air_raids,max_air_raids,civilian_casualties,fatalities,woman_fatalities,child_fatalities,injured,woman_injured,child_injured,confirmed_time,time_of_day
2015-03-26,1,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,2,morning
2015-03-26,2,Sanaa,bani al-harith,Airport,Sana'a International Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,2,morning
2015-03-26,3,Sanaa,bani al-harith,Al-Sonblah Neighbourhood,Residential Area,civilian,residential area,1,2.0,29,21,3,14,8,0,7.0,2,morning
2015-03-26,4,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-26,5,Sanaa,al-thawrah,Al-Nahdhah,Former 1st Armoured Division,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-26,6,Sanaa,sanhan,Raymah Humaid,Raymah Humaid Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-26,7,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-26,8,Sanaa,bani matar,Al-Sobahah,Special Forces Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-26,9,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-26,10,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-26,11,Sanaa,sanhan,Raymah Humaid,Raymah Humaid Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-26,12,Sanaa,arhab,Al-Farijah,Al-Farijah Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,13,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,14,Sanaa,hamdan,Dhila'a,Al-Estiqbal Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,15,Sanaa,bani matar,Al-Sobahah,Special Forces Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,16,Sanaa,sanhan,Raymah Humaid,Raymah Humaid Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,17,Dhalie,al-dhalie,The City,33rd Armoured Brigade ,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,18,Dhalie,qatabah,Murays,Al-Sadrayn Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,19,Hajja,washhah,-,Haqqah School,educational_facility,school,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-26,20,Hajja,washhah,"Samir, Shammakh mountains",Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-26,21,Lahj,tuban,Al-Anad,Al-Anad Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-26,22,Lahj,tuban,Al-Anad,Al-Anad Airbase,military_security_target,military site,1,3.0,0,0,0,0,0,0,0.0,21,night
2015-03-26,23,Saada,haydan,Marran,Houses (reportedly belonging to the Houthis leader and his realtives),political_tribal,figure,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-26,24,Saada,haydan,Maa,Weapons Storage,military_security_target,weapon storage,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-26,25,Saada,al-dhaher,Al-Malaheet,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-26,26,Saada,sa'ada,The City,Sa'ada Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,15,afternoon
2015-03-26,27,Saada,majz,Dhahyan,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,15,afternoon
2015-03-26,28,Saada,al-safra'a,Al-Naqa'ah,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,15,afternoon
2015-03-26,29,Saada,kitaf wa al-boqe'e,Beer Zaid,Badw Tents,civilian,residential area,1,2.0,3,0,0,0,3,1,0.0,15,afternoon
2015-03-26,30,Saada,al-dhaher,Al-Marwee,Mountain,unknown,unknown,1,1.0,0,0,0,0,0,0,0.0,15,afternoon
2015-03-26,31,Taiz,salah,-,SSF Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-26,32,Taiz,al-taiziyah,-,Taiz Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-26,33,Taiz,al-taiziyah,Al-Hawban ,Tariq Air Base,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-27,34,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,35,Sanaa,al-thawrah,Al-Nahdhah,Former 1st Armoured Division,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,36,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,37,Sanaa,ma'ain,Al-Sunainah,Aviation College,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,9,morning
2015-03-27,38,Sanaa,bani al-harith,Airport,Sana'a International Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,7,night
2015-03-27,39,Sanaa,ma'ain,Al-Sunainah,Aviation College,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-27,40,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,8,night
2015-03-27,41,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,2,morning
2015-03-27,42,Sanaa,bani matar,Al-Sobahah,Special Forces Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,2,morning
2015-03-27,43,Sanaa,bani hushaysh,Al-Khorafi,Al-Khorafi Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,44,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,45,Sanaa,bani matar,Al-Nabi Shu'ayb mountain,Radars Centre,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,46,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,47,Sanaa,sanhan,Raymah Humaid,Raymah Humaid Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-27,48,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-27,49,Sanaa,bani matar,Al-Sobahah,Special Forces Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-27,50,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-27,51,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,8,night
2015-03-27,52,Sanaa,sanhan,Al-Sawad,48 hospital,medical_facility,hospital,1,2.0,17,3,0,0,14,0,0.0,Unknown,night
2015-03-27,53,Abyan,zinjibar,Wadi Hassan ,Military Convoy,military_security_target,moving target (weapons/fighters),1,1.0,0,0,0,0,0,0,0.0,23,night
2015-03-27,54,Dhalie,al-dhalie,The City,Aboud Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-27,55,Dhalie,al-dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-27,56,Dhalie,qatabah,Murays,Al-Sadrayn Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-27,57,Hudaydah,al-salif,Al-Salif port,Air Defence Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-27,58,Hudaydah,al-salif,-,Al-Salif port,infrastructure,transport,1,1.0,0,0,0,0,0,0,0.0,22,night
2015-03-27,59,Marib,marib,Safer,49 Air Defence Battalion,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-27,60,Marib,majzar,Mas ,Mas Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-27,61,Marib,marib,Safer,Air Defence Military Site located near the Safer Oil Facility,military_security_target,military site,1,2.0,5,5,0,0,0,0,0.0,Unknown,afternoon
2015-03-27,62,Saada,shada'a,-,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,2,morning
2015-03-27,63,Saada,kitaf wa al-boqe'e,-,131st Infantry Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-27,64,Saada,kitaf wa al-boqe'e,Al-Boqe'e,Al-Boqe'e Market,civilian,market place,1,2.0,20,8,0,0,12,0,0.0,Unknown,morning
2015-03-27,65,Saada,majz,Dhahyan,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-27,66,Saada,kitaf wa al-boqe'e,Al-Salim,Unknown,unknown,unknown,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-27,67,Saada,monabbih,Ozlat Al-Maswad,Civilian's house,civilian,residential area,1,2.0,6,1,1,0,5,0,0.0,17,afternoon
2015-03-28,68,Sanaa,azal,Noqom,Weapons Storage,military_security_target,weapon storage,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-28,69,Sanaa,al-wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,political_tribal,figure,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-28,70,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,4,morning
2015-03-28,71,Sanaa,ma'ain,Al-Sunainah,Aviation College,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-28,72,Sanaa,al-thawrah,Al-Nahdhah,Former 1st Armoured Division,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-28,73,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,24,night
2015-03-28,74,Sanaa,al-sab'ein,Al-Nahdain,Al-Nahdain Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,75,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,5.0,0,0,0,0,0,0,0.0,2,morning
2015-03-28,76,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-28,77,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-28,78,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-28,79,Abyan,khanfir,Shaqrah,115th Infantry Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,23,afternoon
2015-03-28,80,Abyan,zinjibar,Wadi Hassan ,Pro-Houthi forces,military_security_target,forces,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,81,Amran,qaflah odhr,Unknown,Al-Qashlah Military Camp,military_security_target,military site,1,3.0,0,0,0,0,0,0,0.0,17,afternoon
2015-03-28,82,Dhamar,mayfa'at ans,Samah,Samah Mlitary Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-28,83,Hajja,abs,-,25th Mechanized Infantry Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,84,Hudaydah,al-durayhimi,Al-Jabbanah,Al-Hudaydah Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-28,85,Hudaydah,al-durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",military_security_target,military site,1,2.0,21,1,0,0,20,0,0.0,20,night
2015-03-28,86,Hudaydah,al-hudaydah city,Al-Damghah Neighbourhood,Residential Area,civilian,residential area,1,2.0,30,0,0,0,30,12,13.0,Unknown,night
2015-03-28,87,Hudaydah,bajil,Kilo 7,Coastal Defence Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,88,Jawf,al-ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),political_tribal,figure,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-28,89,Marib,marib,The City,180th Air Defence Military Camp Radars,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-28,90,Marib,marib,Sahn Al-Jin,14th Armoured Brigade,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,17,afternoon
2015-03-28,91,Saada,sa'ada,Qahzah,Al-Saifi Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,unknown
2015-03-28,92,Saada,sa'ada,The City,School ,educational_facility,school,1,2.0,0,0,0,0,0,0,0.0,13,afternoon
2015-03-28,93,Saada,sa'ada,The City,Electricity station,economic_infrastructure,water & electricity,1,2.0,0,0,0,0,0,0,0.0,13,afternoon
2015-03-28,94,Saada,sa'ada,-,Central jail ,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-28,95,Saada,sa'ada,-,Yemeni Gas Company,infrastructure,gov. compounds,1,2.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-28,96,Saada,al-dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,97,Saada,sa'ada,Qahzah,Al-Saifi Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,98,Saada,saqain,Al-Sha'af,Unknown,unknown,unknown,1,3.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-28,99,Saada,sa'ada,Kahlan,Kahlan Military Camp,military_security_target,military site,1,8.0,0,0,0,0,0,0,0.0,23,night
2015-03-28,100,Saada,sa'ada,-,1st Artillery Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,24,night
2015-03-29,101,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-29,102,Sanaa,bani al-harith,Al-Rahabah,Sana'a International Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,Unknown,morning
2015-03-29,103,Sanaa,ma'ain,Al-Nahdhah,Former 1st Armoured Division,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,104,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,105,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,106,Sanaa,al-sab'ein,Al-Nahdain,Presidential Palace,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,107,Sanaa,al-sab'ein,Al-Nahdain,Al-Nahdain Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,108,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,109,Sanaa,bani matar,Faj Attan,Missiles Brigade Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,110,Sanaa,bani hushaysh,Al-Khorafi,Al-Khorafi Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-29,111,Bayda,no'man,Aqabat Al-Sahah,Pro-Houthi forces,military_security_target,forces,1,1.0,0,0,0,0,0,0,0.0,16,afternoon
2015-03-29,112,Dhamar,ans,Al-Qarn,Pro-Houthi forces training camps,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,22,night
2015-03-29,113,Hudaydah,al-durayhimi,Al-Jabbanah,Air Defence Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-29,114,Hudaydah,al-mina,Al-Katheeb,Air Defence Battalion,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,unknown
2015-03-29,115,Hudaydah,al-mina,-,Naval Collage,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,116,Hudaydah,al-mina,Al-Katheeb,Radar station,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,117,Hudaydah,al-durayhimi,Al-Jabbanah,Air Defence Military Camp,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,21,night
2015-03-29,118,Jawf,khab wa al-sha'af,Habash Mountain,Telecommunications Towers,infrastructure,communication,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-29,119,Marib,marib,East of Marib City,Military Sites,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
